row,age,gender,device,rank,audiences_id,placement_id,partner_id,page_id,advertiser_id,referrals,revenue,gross_revenue,referral_value,partner_revenue
31,*-15.0,m,desktop,3,2816885255088242762,2767488535544332289,2815027119085715467,2815027119085715467,2443482344537199973,1,2.8922998905181885,2.8922998905181885,0.0,1.373900055885315
32,*-15.0,m,desktop,2,2797104551271464965,2767488535544332289,2815027119085715467,2815027119085715467,2729362767987644725,1,4.278299808502197,4.278299808502197,0.0,2.0322000980377197
33,*-15.0,m,desktop,2,2703732374586523719,2767488535544332289,2815027119085715467,2815027119085715467,2694701772023591526,1,1.9416999816894531,1.9416999816894531,0.0,0.9222999811172485
34,*-15.0,m,desktop,1,2757790649730924615,2751931060191625218,2774111280650125415,2774111280650125415,2179318766088516042,322,1011.6759996414185,1011.6759996414185,0.0,480.54669868946075
35,*-15.0,m,desktop,3,2757790649730924615,2751931060191625218,2774111280650125415,2774111280650125415,2179318766088516042,1,3.720099925994873,3.720099925994873,0.0,1.7669999599456787
36,*-15.0,m,desktop,1,2762330228299792395,2751931060191625218,2774111280650125415,2774111280650125415,86,176,430.5501028895378,430.5501028895378,0.0,204.5109992325306
37,*-15.0,m,desktop,3,2762330228299792395,2751931060191625218,2774111280650125415,2774111280650125415,86,2,7.237600088119507,7.237600088119507,0.0,3.4379000663757324
38,*-15.0,m,desktop,4,2762330228299792395,2751931060191625218,2774111280650125415,2774111280650125415,86,1,3.2934999465942383,3.2934999465942383,0.0,1.5643999576568604
39,*-15.0,m,desktop,2,2591613984164833404,2751931060191625218,2774111280650125415,2774111280650125415,2563762508524736932,67,311.21760177612305,311.21760177612305,0.0,147.82860028743744
40,*-15.0,m,desktop,1,2591613984164833404,2751931060191625218,2774111280650125415,2774111280650125415,2563762508524736932,16,74.61100006103516,74.61100006103516,0.0,35.440499782562256
41,*-15.0,m,desktop,1,2757790649730924615,2751931060191625218,2774111280650125415,2774111280650125415,2179318766088516042,75,325.1461992263794,325.1461992263794,0.0,154.44459927082062
